template_id,classes
1,"['no', 'not sure', 'yes']"
2,"['no', 'yes']"
3,"['conduction disturbance', 'hypertrophy', 'myocardial infarction', 'none', 'st/t change']"
4,"['AV-junctional rhythm', 'Left ventricular hypertrophy', 'Myocardial infarction in anterior leads', 'Myocardial infarction in anterolateral leads', 'Myocardial infarction in anteroseptal leads', 'Myocardial infarction in inferior leads', 'Myocardial infarction in inferolateral leads', 'Myocardial infarction in inferoseptal leads', 'Myocardial infarction in lateral leads', 'Myocardial infarction in posterior leads', 'Myocardial infarction in septal leads', 'Right ventricular hypertrophy', 'ST-T change due to ventricular hypertrophy', 'accelerated junctional rhythm', 'atrial flutter', 'bi-atrial overload/enlargement', 'dextrocardia', 'early repolarization', 'ischemic ST-T changes in anterior leads', 'ischemic ST-T changes in anterolateral leads', 'ischemic ST-T changes in anteroseptal leads', 'ischemic ST-T changes in diffuse leads', 'ischemic ST-T changes in inferior leads', 'ischemic ST-T changes in inferolateral leads', 'ischemic ST-T changes in inferoseptal leads', 'ischemic ST-T changes in lateral leads', 'ischemic ST-T changes in septal leads', 'junctional rhythm', 'left anterior fascicular block', 'left atrial overload/enlargement', 'non-sustained ventricular tachycardia', 'none', 'pericarditis', 'sinus tachycardia', 'supraventricular tachycardia', 'ventricular tachycardia']"
5,"['Left ventricular hypertrophy', 'Myocardial infarction in anterior leads', 'Myocardial infarction in anterolateral leads', 'Myocardial infarction in anteroseptal leads', 'Myocardial infarction in inferior leads', 'Myocardial infarction in inferolateral leads', 'Myocardial infarction in inferoseptal leads', 'Myocardial infarction in lateral leads', 'Myocardial infarction in posterior leads', 'Myocardial infarction in septal leads', 'Right ventricular hypertrophy', 'accelerated junctional rhythm', 'atrial flutter', 'bi-atrial overload/enlargement', 'dextrocardia', 'early repolarization', 'ischemic ST-T changes in anterior leads', 'ischemic ST-T changes in anterolateral leads', 'ischemic ST-T changes in anteroseptal leads', 'ischemic ST-T changes in diffuse leads', 'ischemic ST-T changes in inferior leads', 'ischemic ST-T changes in inferolateral leads', 'ischemic ST-T changes in inferoseptal leads', 'ischemic ST-T changes in lateral leads', 'ischemic ST-T changes in septal leads', 'junctional rhythm', 'left anterior fascicular block', 'left atrial overload/enlargement', 'non-sustained ventricular tachycardia', 'none', 'sinus tachycardia', 'supraventricular tachycardia']"
6,"['Broad R wave in lateral leads', 'Deep S wave', 'P wave abnormality', 'Prolonged PR interval', 'Q waves present', 'QRS changes in anteroseptal leads', 'QTc prolongation', 'Reversed R wave progression', 'S1 S2 S3 type QRS pattern', 'ST Depression', 'ST Elevation', 'ST(-T) change', 'ST-T change due to ventricular hypertrophy', 'Short PR interval', 'Significant repolarization change', 'T-wave abnormality', 'TU fusion', 'Voltage criteria (QRS) for left ventricular hypertrophy', 'abnormal R wave progression', 'dextrocardia', 'early R wave transition', 'early repolarization', 'high P-voltages', 'high QRS voltage', 'high amplitude T-waves', 'inverted T-waves', 'late R wave transition', 'long QT interval', 'low QRS voltage', 'low R', 'multifocal premature ventricular complexes', 'non-diagnostic T abnormalities', 'non-specific ST changes', 'non-specific ST depression', 'non-specific T-wave changes', 'non-specific t abnormality', 'none', 'notched P wave', 'paired ventricular premature complexes', 'poor R wave progression', 'premature atrial complexes', 'premature ventricular complexes', 'premature ventricular interpolated complexes', 'prolonged QRS duration', ""rSr' type in V1 or V2"", 'repolarization abnormality', 'short QT interval', 'short QTc', 'supraventricular extrasystoles', 'supraventricular premature complex', 'tall R wave in V1 or V2', 'tall R wave in V5 or V6']"
7,"['AV sequential pacemaker', 'AV-junctional rhythm', 'accelerated idioventricular rhythm', 'accelerated junctional rhythm', 'atrial arrhythmia', 'atrial bigeminy', 'atrial couplet', 'atrial fibrillation', 'atrial flutter', 'atrial tachycardia', 'dual chamber electronic pacing', 'ectopic atrial bradycardia', 'ectopic atrial rhythm', 'ectopic atrial tachycardia', 'electronic atrial pacing', 'extreme tachycardia', 'fusion complexes', 'idioventricular rhythm', 'junctional bradycardia', 'junctional rhythm', 'junctional tachycardia', 'non-sustained ventricular tachycardia', 'none', 'pacemaker activity', 'pacemaker rhythm', 'paroxysmal idioventricular rhythm', 'rapid ventricular response', 'regular rhythm', 'sinus arrhythmia', 'sinus bradycardia', 'sinus rhythm', 'sinus tachycardia', 'slow ventricular response', 'supraventricular bigeminy BIGU bigeminal pattern', 'supraventricular rhythm', 'supraventricular tachycardia', 'uncontrolled ventricular response', 'ventricular bigeminy', 'ventricular couplet', 'ventricular escape rhythm', 'ventricular tachycardia', 'ventricular trigeminy', 'ventricular-paced complexes or rhythm', 'wandering pacemaker', 'wide QRS tachycardia']"
8,"['AV-junctional rhythm', 'Left ventricular hypertrophy', 'Myocardial infarction in anterior leads', 'Myocardial infarction in anterolateral leads', 'Myocardial infarction in anteroseptal leads', 'Myocardial infarction in inferior leads', 'Myocardial infarction in inferolateral leads', 'Myocardial infarction in inferoseptal leads', 'Myocardial infarction in lateral leads', 'Myocardial infarction in posterior leads', 'Myocardial infarction in septal leads', 'Right ventricular hypertrophy', 'ST-T change due to ventricular hypertrophy', 'accelerated junctional rhythm', 'atrial flutter', 'bi-atrial overload/enlargement', 'dextrocardia', 'early repolarization', 'ischemic ST-T changes in anterior leads', 'ischemic ST-T changes in anterolateral leads', 'ischemic ST-T changes in anteroseptal leads', 'ischemic ST-T changes in diffuse leads', 'ischemic ST-T changes in inferior leads', 'ischemic ST-T changes in inferolateral leads', 'ischemic ST-T changes in inferoseptal leads', 'ischemic ST-T changes in lateral leads', 'ischemic ST-T changes in septal leads', 'junctional rhythm', 'left anterior fascicular block', 'left atrial overload/enlargement', 'non-sustained ventricular tachycardia', 'none', 'pericarditis', 'sinus tachycardia', 'supraventricular tachycardia', 'ventricular tachycardia']"
9,"['Left ventricular hypertrophy', 'Myocardial infarction in anterior leads', 'Myocardial infarction in anterolateral leads', 'Myocardial infarction in anteroseptal leads', 'Myocardial infarction in inferior leads', 'Myocardial infarction in inferolateral leads', 'Myocardial infarction in inferoseptal leads', 'Myocardial infarction in lateral leads', 'Myocardial infarction in posterior leads', 'Myocardial infarction in septal leads', 'Right ventricular hypertrophy', 'accelerated junctional rhythm', 'atrial flutter', 'bi-atrial overload/enlargement', 'dextrocardia', 'early repolarization', 'ischemic ST-T changes in anterior leads', 'ischemic ST-T changes in anterolateral leads', 'ischemic ST-T changes in anteroseptal leads', 'ischemic ST-T changes in diffuse leads', 'ischemic ST-T changes in inferior leads', 'ischemic ST-T changes in inferolateral leads', 'ischemic ST-T changes in inferoseptal leads', 'ischemic ST-T changes in lateral leads', 'ischemic ST-T changes in septal leads', 'junctional rhythm', 'left anterior fascicular block', 'left atrial overload/enlargement', 'non-sustained ventricular tachycardia', 'none', 'sinus tachycardia', 'supraventricular tachycardia']"
10,"['AV sequential pacemaker', 'AV-junctional rhythm', 'accelerated idioventricular rhythm', 'accelerated junctional rhythm', 'atrial arrhythmia', 'atrial bigeminy', 'atrial couplet', 'atrial fibrillation', 'atrial flutter', 'atrial tachycardia', 'dual chamber electronic pacing', 'ectopic atrial bradycardia', 'ectopic atrial rhythm', 'ectopic atrial tachycardia', 'electronic atrial pacing', 'extreme tachycardia', 'fusion complexes', 'idioventricular rhythm', 'junctional bradycardia', 'junctional rhythm', 'junctional tachycardia', 'non-sustained ventricular tachycardia', 'none', 'pacemaker activity', 'pacemaker rhythm', 'paroxysmal idioventricular rhythm', 'rapid ventricular response', 'regular rhythm', 'sinus arrhythmia', 'sinus bradycardia', 'sinus rhythm', 'sinus tachycardia', 'slow ventricular response', 'supraventricular bigeminy BIGU bigeminal pattern', 'supraventricular rhythm', 'supraventricular tachycardia', 'uncontrolled ventricular response', 'ventricular bigeminy', 'ventricular couplet', 'ventricular escape rhythm', 'ventricular tachycardia', 'ventricular trigeminy', 'ventricular-paced complexes or rhythm', 'wandering pacemaker', 'wide QRS tachycardia']"
